90 92 97 82 52 53 50 30 68 64
10 11 12 13 14 15 16 17 18 19
50 51 55 48 39 20 18 27 48 39
34 32 48 10 48 29 39 50 86 92
85 91 85 72 18 29 58 36 74 83
12 34 83 57 19 75 82 39 38 57
82 38 75 82 93 58 29 38 57 26
93 75 82 83 59 83 72 83 49 82
94 82 37 85 29 83 57 82 72 38
83 95 27 27 28 18 28 37 19 38
10 11 10 93 48 27 38 29 48 37
28 38 94 82 37 82 93 47 28 93
82 38 48 72 84 29 38 57 28 93
17 83 95 27 38 59 27 38 57 28
85 85 58 93 73 84 23 23 23 23
38 27 13 29 48 37 48 39 39 58
20 20 20 20 20 20 20 20 20 20
30 30 30 30 30 30 30 30 30 30
11 11 11 11 11 11 11 11 11 11
10 10 10 10 10 10 10 10 10 10
